time,expected_voltage,actual_voltage
35.486000,0.468000,0.470788
35.487000,0.468000,0.468288
35.488000,0.468000,0.468601
35.489000,0.468000,0.466726
35.490000,0.468000,0.469538
35.491000,0.468000,0.467351
35.492000,0.468000,0.465476
35.493000,0.468000,0.467663
35.494000,0.468000,0.468601
35.495000,0.468000,0.467038
35.496000,0.468000,0.466413
35.497000,0.468000,0.468913
35.498000,0.468000,0.468913
35.499000,0.468000,0.468288
35.500000,0.468000,0.470163
35.501000,0.468000,0.467351
35.502000,0.468000,0.466413
35.503000,0.468000,0.466413
35.504000,0.468000,0.465476
35.505000,0.468000,0.466726
35.506000,0.468000,0.467351
35.507000,0.468000,0.466413
35.508000,0.468000,0.467976
35.509000,0.468000,0.468288
35.510000,0.468000,0.469851
35.511000,0.468000,0.468288
35.512000,0.468000,0.467038
35.513000,0.468000,0.467038
35.514000,0.468000,0.466726
35.515000,0.468000,0.468601
35.516000,0.468000,0.468913
35.517000,0.468000,0.468601
35.518000,0.468000,0.469538
35.519000,0.468000,0.468913
35.520000,0.468000,0.467976
35.521000,0.468000,0.470163
35.522000,0.468000,0.468288
35.523000,0.468000,0.467351
35.524000,0.468000,0.467351
35.525000,0.468000,0.467351
35.526000,0.468000,0.465788
35.527000,0.468000,0.468601
35.528000,0.468000,0.469226
35.529000,0.468000,0.466413
35.530000,0.468000,0.469226
35.531000,0.468000,0.469538
35.532000,0.468000,0.468913
35.533000,0.468000,0.468601
35.534000,0.468000,0.469226
35.535000,0.468000,0.468288
35.536000,0.468000,0.465163
35.537000,0.468000,0.468601
35.538000,0.468000,0.467038
35.539000,0.468000,0.466726
35.540000,0.468000,0.471726
35.541000,0.468000,0.469851
35.542000,0.468000,0.468601
35.543000,0.468000,0.470476
35.544000,0.468000,0.468288
35.545000,0.468000,0.467038
35.546000,0.468000,0.468288
35.547000,0.468000,0.467976
35.548000,0.468000,0.519539
35.549000,0.468000,0.516414
35.550000,0.518000,0.520164
35.551000,0.518000,0.519227
35.552000,0.518000,0.518914
35.553000,0.518000,0.518914
35.554000,0.518000,0.518914
35.555000,0.518000,0.519539
35.556000,0.518000,0.517039
35.557000,0.518000,0.517664
35.558000,0.518000,0.516102
35.559000,0.518000,0.517977
35.560000,0.518000,0.516727
35.561000,0.518000,0.520164
35.562000,0.518000,0.519227
35.563000,0.518000,0.519852
35.564000,0.518000,0.520164
35.565000,0.518000,0.518914
35.566000,0.518000,0.517039
35.567000,0.518000,0.516727
35.568000,0.518000,0.518602
35.569000,0.518000,0.515477
35.570000,0.518000,0.519852
35.571000,0.518000,0.520164
35.572000,0.518000,0.518289
35.573000,0.518000,0.519539
35.574000,0.518000,0.517352
35.575000,0.518000,0.517977
35.576000,0.518000,0.518602
35.577000,0.518000,0.517352
35.578000,0.518000,0.517352
35.579000,0.518000,0.518602
35.580000,0.518000,0.519539
35.581000,0.518000,0.519227
35.582000,0.518000,0.518602
35.583000,0.518000,0.517352
35.584000,0.518000,0.517664
35.585000,0.518000,0.518289
35.586000,0.518000,0.517977
